ID,Title,Iteration Path,State,User story owner,QA's Assigned,Developer,Story Size,Story Status,Release date,Development Status,Testing on Demo Status,QA Sign Off,Sunil's Sign Off,Final Demo 1 on Demo env,Deployment on Dev,Dev Env.,Deployment on QA ,Final Demo 2 on QA Env.,QA Env.,Live,Overall Status,Comment
37412,WEB | Project & Budget | Revamp project & budget with the new design (Part 1 - Use case 1 to 9 and 12),Solo Expenses\2026\Iteration 2026 06-June,New,Chhavi,,Arpit Bhardwaj ,Big,Complete,2026 August,Inprogress,,,,,,,,,,,,
37002,WEB | TAX - GLOBAL TAX & POLICY - Archana,Solo Expenses\2026\Iteration 2026 08-August,New,Geetika,,Archana Pandey ,Big,Incomplete,2026 September,,,,,,,,,,,,,
41470,Enhancement 41470: WEB | Project & Budget | Revamp project & budget with the new design (Part 2 - Use case 13 to 17 ),Solo Expenses\2026\Iteration 2026 08-August,New,Chhavi,,Arpit Bhardwaj ,Big,Incomplete,2026 September,,,,,,,,,,,,,
35468,WEB | Billing | Billing - Phase 2 (Archana),Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Nancy, Satyarth, Vineeta",Archana Pandey ,Big,Complete,2026 July,Complete,"Complete 
5th June","Complete 
5th June","Complete 
8th June 2026","Complete 
11th June 2026",7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
35016,WEB | Enhancement - Quick Setup - Archana,Solo Expenses\2026\Iteration 2026 03-March,Watch List,Geetika,"Vineeta, Kunal",Archana Pandey ,Big,Complete,2026 April,Completed,Completed,Completed,Completed,Completed,,4/17/2026,,,4/22/2026,4/23/2026,,
32640,Web |Mileage Heatmap (Story to be added),Solo Expenses\2026\Iteration 2026 11-November,New,Chhavi,,Nitesh Bagdi,Big,Incomplete,2026 December,,,,,,,,,,,,,
32615,Web |Weekend Working Policy,Solo Expenses\2027\Iteration 2027 01-Januari,New,Geetika,,Nitesh Bagdi,Big,Incomplete,2027 February,,,,,,,"Thursday, June 18, 2026",,,"Tuesday, June 23, 2026","Wednesday, June 24, 2026",,
38892,Approver / Claimant Dashboard,Solo Expenses\2026\Iteration 2026 07-July,New,Chhavi,,Shivi Prajapati ,Medium,Complete,2026 August,,,,,,,,,,,,,
36950,WEB | Integration - Integration with Travel Perks,Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,,Rajesh K,Medium,Incomplete,2026 August,,,,,,,,,,,,,
38302,WEB | AI Chatbot,Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,,Rajesh K,Medium,Complete,2026 August,,,,,,,,,,,,,
35010,iOS | Enhancement - Voice Activation Phase 1,Solo Expenses\2026\Iteration 2026 01-January,Tester Assigned,Geetika,,Dolly Munjal ,Medium,Complete,2026 August,,,,,,,,,,,,,
40182,WEB | Pliant,Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Kunal, Mayank",Rajesh K,Medium,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
